GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjectPlanner,default,ProjectPlannerApp,12,0,0,0,5,0,3,0,3,0
ProjectPlanner,view,DashboardPanel,46,0,0,0,10,0,1,0,1,0
ProjectPlanner,view,ProjectFormPanel,2633,0,212,0,533,0,144,0,38,0
ProjectPlanner,view,GanttChartPanel,729,0,52,0,128,0,29,0,3,0
ProjectPlanner,view,AnalysisPanel,30,0,0,0,8,0,2,0,2,0
ProjectPlanner,view,VisualizePanel,71,0,4,0,15,0,4,0,2,0
ProjectPlanner,view,ProjectFormPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
ProjectPlanner,view,AnalyzePanel,216,0,6,0,36,0,12,0,9,0
ProjectPlanner,view,ProjectFormPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
ProjectPlanner,view,ProjectFormPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
ProjectPlanner,view,ProjectFormPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
ProjectPlanner,view,MainUI,181,0,0,0,40,0,9,0,9,0
ProjectPlanner,controller,ProjectController,48,0,4,0,13,0,8,0,6,0
ProjectPlanner,controller,AnalysisController,165,0,28,0,33,0,19,0,5,0
ProjectPlanner,controller,FileController.ValidationResult,18,0,0,0,4,0,1,0,1,0
ProjectPlanner,controller,FileController.ParseResult,13,0,0,0,3,0,1,0,1,0
ProjectPlanner,controller,FileController,848,0,122,0,164,0,69,0,8,0
ProjectPlanner,model.storage,SqliteDatabaseStorage,643,0,20,0,176,0,26,0,16,0
ProjectPlanner,model.storage,FileProjectStorage,468,0,52,0,89,0,34,0,8,0
ProjectPlanner,model.storage,DatabaseInitializer,47,0,0,0,17,0,2,0,2,0
ProjectPlanner,model,Project,312,149,58,14,65,29,45,11,14,6
ProjectPlanner,model,Task,33,46,1,3,9,13,10,6,9,5
ProjectPlanner,model,Resource,36,0,2,0,9,0,7,0,6,0
ProjectPlanner,model,Allocation,100,0,10,0,21,0,17,0,12,0
